Datos 50 iteraciones,Datos 10000 iteraciones
,0.308953
,0.854004
,0.498725
,0.999993
,2.60256e-05
,0.000104099
,0.000416355
,0.00166473
,0.00664782
,0.0264145
,0.102867
,0.369142
,0.931504
,0.255216
,0.760323
,0.728928
,0.790368
,0.662746
,0.894055
,0.378881
,0.941321
,0.220943
,0.68851
,0.857856
,0.487755
,0.9994
,0.00239752
,0.00956709
,0.0379023
,0.145863
,0.498347
,0.999989
,4.37142e-05
,0.000174849
,0.000699274
,0.00279514
,0.0111493
,0.0441
,0.168621
,0.560751
,0.985237
,0.0581799
,0.21918
,0.68456
,0.86375
,0.470744
,0.996576
,0.0136473
,0.0538444
,0.203781
,0.649016
,0.911177
,0.323735
,0.875723
,0.43533
,0.983271
,0.0657954
,0.245865
,0.741663
,0.766397
,0.716131
,0.81315
,0.607749
,0.95356
,0.177132
,0.583025
,0.972427
,0.10725
,0.382989
,0.945234
,0.207068
,0.656763
,0.901702
,0.354542
,0.915368
,0.309877
,0.855414
,0.494725
,0.999889
,0.000445231
,0.00178013
,0.00710785
,0.0282293
,0.10973
,0.390756
,0.952263
,0.181832
,0.595077
,0.963842
,0.139404
,0.479883
,0.998381
,0.00646492
,0.0256925
,0.10013
,0.360415
,0.922064
,0.287448
,0.819287
,0.592223
,0.96598
,0.131451
,0.456687
,0.992496
,0.0297913
,0.115615
,0.408993
,0.966871
,0.128126
,0.446839
,0.988696
,0.0447057
,0.170828
,0.566584
,0.982266
,0.0696774
,0.25929
,0.768234
,0.712202
,0.819882
,0.590702
,0.967092
,0.127299
,0.444376
,0.987624
,0.0488912
,0.186003
,0.605624
,0.955374
,0.170538
,0.565819
,0.982671
,0.0681138
,0.253897
,0.757734
,0.734293
,0.780427
,0.685443
,0.862444
,0.474538
,0.997407
,0.0103461
,0.0409561
,0.157115
,0.529719
,0.996467
,0.0140813
,0.0555321
,0.209793
,0.66312
,0.893567
,0.380419
,0.942801
,0.215708
,0.676713
,0.87509
,0.437229
,0.984239
,0.0620494
,0.232797
,0.71441
,0.816113
,0.60029
,0.959767
,0.154456
,0.522397
,0.997993
,0.00801009
,0.0317837
,0.123094
,0.431767
,0.981377
,0.0731037
,0.271038
,0.790306
,0.662889
,0.893868
,0.379471
,0.941891
,0.218929
,0.683996
,0.864582
,0.468319
,0.995985
,0.0159949
,0.0629564
,0.235972
,0.721156
,0.80436
,0.629459
,0.932961
,0.250178
,0.750356
,0.749287
,0.751423
,0.747146
,0.755676
,0.73852
,0.772433
,0.703121
,0.834968
,0.551186
,0.98952
,0.0414801
,0.159038
,0.53498
